0;Avatar ;3;0;1;2;178;2009;Action|Adventure|Fantasy|Sci-Fi;7.9;723;PG-13;English;USA;avatar|future|marine|native|paraplegic;http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
1;Pirates of the Caribbean: At World's End ;7;4;5;6;169;2007;Action|Adventure|Fantasy;7.1;302;PG-13;English;USA;goddess|marriage ceremony|marriage proposal|pirate|singapore;http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
2;Spectre ;11;8;9;10;148;2015;Action|Adventure|Thriller;6.8;602;PG-13;English;UK;bomb|espionage|sequel|spy|terrorist;http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
3;The Dark Knight Rises ;15;12;13;14;164;2012;Action|Thriller;8.5;813;PG-13;English;USA;deception|imprisonment|lawlessness|police officer|terrorist plot;http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
4;Star Wars: Episode VII - The Force Awakens ;16;16;17;18;;;Documentary;7.1;;;;;;http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
5;John Carter ;22;19;20;21;132;2012;Action|Adventure|Sci-Fi;6.6;462;PG-13;English;USA;alien|american civil war|male nipple|mars|princess;http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
6;Spider-Man 3 ;26;23;24;25;156;2007;Action|Adventure|Romance;6.2;392;PG-13;English;USA;sandman|spider man|symbiote|venom|villain;http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
7;Tangled ;30;27;28;29;100;2010;Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance;7.8;324;PG;English;USA;17th century|based on fairy tale|disney|flower|tower;http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
8;Avengers: Age of Ultron ;34;31;32;33;141;2015;Action|Adventure|Sci-Fi;7.5;635;PG-13;English;USA;artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero;http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
9;Harry Potter and the Half-Blood Prince ;38;35;36;37;153;2009;Adventure|Family|Fantasy|Mystery;7.5;375;PG;English;UK;blood|book|love|potion|professor;http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
10;Batman v Superman: Dawn of Justice ;42;39;40;41;183;2016;Action|Adventure|Sci-Fi;6.9;673;PG-13;English;USA;based on comic book|batman|sequel to a reboot|superhero|superman;http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
11;Superman Returns ;46;43;44;45;169;2006;Action|Adventure|Sci-Fi;6.1;434;PG-13;English;USA;crystal|epic|lex luthor|lois lane|return to earth;http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
12;Quantum of Solace ;49;47;48;9;106;2008;Action|Adventure;6.7;403;PG-13;English;UK;action hero|attempted rape|bond girl|official james bond series|revenge;http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
13;Pirates of the Caribbean: Dead Man's Chest ;7;4;5;6;151;2006;Action|Adventure|Fantasy;7.3;313;PG-13;English;USA;box office hit|giant squid|heart|liar's dice|monster;http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
14;The Lone Ranger ;7;4;50;51;150;2013;Action|Adventure|Western;6.5;450;PG-13;English;USA;horse|outlaw|texas|texas ranger|train;http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
15;Man of Steel ;42;39;52;53;143;2013;Action|Adventure|Fantasy|Sci-Fi;7.2;733;PG-13;English;USA;based on comic book|british actor playing american character|final battle|origin of hero|reboot;http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
16;The Chronicles of Narnia: Prince Caspian ;57;54;55;56;150;2008;Action|Adventure|Family|Fantasy;6.6;258;PG;English;USA;brother brother relationship|brother sister relationship|good versus evil|king|narnia;http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
17;The Avengers ;34;31;32;33;173;2012;Action|Adventure|Sci-Fi;8.1;703;PG-13;English;USA;alien invasion|assassin|battle|iron man|soldier;http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
18;Pirates of the Caribbean: On Stranger Tides ;60;4;58;59;136;2011;Action|Adventure|Fantasy;6.7;448;PG-13;English;USA;blackbeard|captain|pirate|revenge|soldier;http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
19;Men in Black 3 ;64;61;62;63;106;2012;Action|Adventure|Comedy|Family|Fantasy|Sci-Fi;6.8;451;PG-13;English;USA;alien|criminal|m.i.b.|maximum security prison|prison;http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
20;The Hobbit: The Battle of the Five Armies ;68;65;66;67;164;2014;Adventure|Fantasy;7.5;422;PG-13;English;New Zealand;army|elf|hobbit|middle earth|orc;http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
21;The Amazing Spider-Man ;72;69;70;71;153;2012;Action|Adventure|Fantasy;7.0;599;PG-13;English;USA;lizard|outcast|spider|spider man|teenager;http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
22;Robin Hood ;76;73;74;75;156;2010;Action|Adventure|Drama|History;6.7;343;PG-13;English;USA;1190s|archer|england|king of england|robin hood;http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
23;The Hobbit: The Desolation of Smaug ;68;65;66;67;186;2013;Adventure|Fantasy;7.9;509;PG-13;English;USA;dwarf|elf|lake town|mountain|sword and sorcery;http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
24;The Golden Compass ;80;77;78;79;113;2007;Adventure|Family|Fantasy;6.1;251;PG-13;English;USA;children|epic|friend|girl|quest;http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
25;King Kong ;68;81;82;83;201;2005;Action|Adventure|Drama|Romance;7.2;446;PG-13;English;New Zealand;animal name in title|ape abducts a woman|gorilla|island|king kong;http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
26;Titanic ;3;84;85;86;194;1997;Drama|Romance;7.7;315;PG-13;English;USA;artist|love|ship|titanic|wet;http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
27;Captain America: Civil War ;88;32;33;87;147;2016;Action|Adventure|Sci-Fi;8.2;516;PG-13;English;USA;based on comic book|knife|marvel cinematic universe|returning character killed off|superhero;http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
28;Battleship ;92;89;90;91;131;2012;Action|Adventure|Sci-Fi|Thriller;5.9;377;PG-13;English;USA;box office flop|hawaii|naval|oahu hawaii|ship;http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
29;Jurassic World ;96;93;94;95;124;2015;Action|Adventure|Sci-Fi|Thriller;7.0;644;PG-13;English;USA;dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor;http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
30;Skyfall ;11;97;98;9;143;2012;Action|Adventure|Thriller;7.8;750;PG-13;English;UK;brawl|childhood home|computer cracker|intelligence agency|terrorist cell;http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
31;Spider-Man 2 ;26;23;24;25;135;2004;Action|Adventure|Fantasy|Romance;7.3;300;PG-13;English;USA;death|doctor|scientist|super villain|tentacle;http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
32;Iron Man 3 ;101;32;99;100;195;2013;Action|Adventure|Sci-Fi;7.2;608;PG-13;English;USA;armor|explosion|human bomb|missile attack|terrorist;http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
