0;CCH Pounder;0|306|455|801|2112|2189|2960;
1;Joel David Moore;0|747|1595|1968|3764|4202|4426;
2;Wes Studi;0|637|1127|1211|1699|2279;
3;James Cameron;;0|26|288|291|606|2486|3575
4;Johnny Depp;1|13|14|18|33|106|118|134|181|205|289|305|343|807|905|945|1096|1240|1354|1420|1436|1449|1519|1629|1642|1753|1898|1946|2117|2177|2389|2449|3058|3170|3582|3709|3817|4104|4128|4173|4352;
5;Orlando Bloom;1|13|147|205|270|275|339|340|401|896|2591;
6;Jack Davenport;1|13|205|1206|2117|2648;
7;Gore Verbinski;;1|13|14|181|205|1219|2278
8;Christoph Waltz;2|63|137|259|296|588|1234|1345|1999|3163;
9;Rory Kinnear;2|12|30|2614|3493;
10;Stephanie Sigman;2;
11;Sam Mendes;;2|30|457|574|1114|2144|2606|3493
12;Tom Hardy;3|97|128|179|674|778|1046|1966|1978|2452|3419|3567|4888;
13;Christian Bale;3|44|66|120|159|289|327|769|832|839|901|1052|1185|1233|1699|1756|2047|2126|2319|2329|2625|3029|3186|3308|3383|3779|3891|4277;
14;Joseph Gordon-Levitt;3|77|97|315|653|691|1128|1142|1346|1475|1496|1615|1981|2845|3368|3468|3526|3672|4650;3672
15;Christopher Nolan;;3|66|96|97|120|1066|1233|3716
16;Doug Walker;4;4
17;Rob Walker;4;
18;;;
19;Daryl Sabara;5|1405|1824|3226|4551;
20;Samantha Morton;5|2322|2754|3450|3574|3633|3693|4038|4192;
21;Polly Walker;5|1082;
22;Andrew Stanton;;5|58|338
23;J.K. Simmons;6|31|109|154|161|201|513|753|993|1215|1219|1252|1355|1371|1439|1612|1801|1909|2450|2565|2715|2864|3381|3438|3447|3461|3463|3613|4028|4277|4557;
24;James Franco;6|31|38|161|345|516|731|797|811|846|1017|1173|1285|1546|1733|1838|2071|2109|2212|2429|2707|3180|3206|3461|3738|4032|4579|4778;
25;Kirsten Dunst;6|31|161|669|896|902|940|1228|1290|1479|2017|2223|2336|2456|2625|2630|2862|2869|3093|3160|3162|3274|3461|3481|3618|4114;
26;Sam Raimi;;6|31|38|161|993|1560|1646|2509|3056|3461|4003|4778|4813
27;Brad Garrett;7|228|248|338|834|1253;
28;Donna Murphy;7|4364;
29;M.C. Gainey;7|94|1383|2043|2490|4330;
30;Nathan Greno;;7
31;Chris Hemsworth;8|17|81|127|130|160|244|320|625|794|1373|1583|1653|2789|3533;
32;Robert Downey Jr.;8|17|27|32|69|80|212|363|366|434|662|747|786|794|856|910|983|1247|1471|1701|2255|2311|2532|2721|2991|3271|3413|3477|4563;
33;Scarlett Johansson;8|17|27|79|80|86|280|735|794|796|806|949|1189|1233|1278|1602|1687|1805|1849|2058|2105|2107|2560|2664|2831|2969|3672|3674|3888|3907;
34;Joss Whedon;;8|17|794|1334
35;Alan Rickman;9|33|106|929|1086|1754|1979|2232|2535|3773|4128;
36;Daniel Radcliffe;9|114|115|195|202|285|380|1146|1305|2099|2439|2626;
37;Rupert Grint;9|115|195|199|206|285|3417|3827;
38;David Yates;;9|63|114|137
39;Henry Cavill;10|15|548|554|610|1230|2320;
40;Lauren Cohan;10|3112|4690;
41;Alan D. Purwin;10;
42;Zack Snyder;;10|15|165|312|564|709|1759|4401
43;Kevin Spacey;11|957|979|1011|1048|1095|1192|1234|1263|1406|1412|1416|1462|1486|2032|2042|2606|2900|2912|3592|3768|4025;2042|3788
44;Marlon Brando;11|632|840|1276|1571|1946|3466|4358|4638;
45;Frank Langella;11|350|607|756|1232|1279|1354|1730|1959|2336|3200|3981|4195|4296;
46;Bryan Singer;;11|47|49|65|210|370|526|3592
47;Giancarlo Giannini;12|746|3078;
48;Mathieu Amalric;12|545|2802|2812|4455;4455
49;Marc Forster;;12|46|1651|1726|1898|2259|3892|4761
50;Ruth Wilson;14|1428|1499;
51;Tom Wilkinson;14|253|259|370|774|869|1445|1502|1512|1578|1835|1973|2127|2184|2218|2223|2309|2397|2452|2535|2709|2908|2969|3108|3984|4381|4565;
52;Christopher Meloni;15|559|584|1205|3848|4132;
53;Harry Lennix;15|773|1212|1822|2401|2773|2877|4212|4487;
54;Peter Dinklage;16|47|335|372|567|1540|1742|2134|2292|2883|4301|4690|4730|4742;
55;Pierfrancesco Favino;16;
56;Damián Alcázar;16|4360;
57;Andrew Adamson;;16|64|582|927|2001
58;Sam Claflin;18|81|244|2178;
59;Stephen Graham;18|289|805|2747|3325|3577|4216;
60;Rob Marshall;;18|417|497|945|1585
61;Will Smith;19|71|73|116|117|152|190|197|272|274|352|409|522|673|787|842|851|893|1468|2052;
62;Michael Stuhlbarg;19|2435|2826|3496;
63;Nicole Scherzinger;19;
64;Barry Sonnenfeld;;19|71|152|352|1131|1584|1596
65;Aidan Turner;20|23|99|801;
66;Adam Brown;20|23|99;
67;James Nesbitt;20|23|99|685|3640|4015|4053|4781;
68;Peter Jackson;;20|23|25|99|270|337|339|340|2049|3775|4584|4694
69;Emma Stone;21|39|241|953|996|1389|1875|1917|2048|2414|2475|2639|2714|3389;
70;Andrew Garfield;21|39|1197|1483|1708|2726|3320;
71;Chris Zylka;21|1968;
72;Marc Webb;;21|39|3468
73;Mark Addy;22|481|818|1493|1616|1709|3251|3984|4565;
74;William Hurt;22|176|373|475|579|800|1214|1558|1674|1816|2250|2610|2672|3082|3727|4198;
75;Scott Grimes;22|1784;
76;Ridley Scott;;22|159|227|275|278|283|290|330|641|974|1358|1498|1640|1777|2011|3277|3891
77;Christopher Lee;24|70|118|134|236|237|270|340|982|1556|1642|2810|3230|3483|4335;
78;Eva Green;24|261|286|691|2899|2944;
79;Kristin Scott Thomas;24|438|692|735|1415|2411|2434|2758|2809|3271|3831|3843|4357;
80;Chris Weitz;4857;24|926|1616|1810|3202
81;Naomi Watts;25|264|952|1005|1014|1018|1022|1293|1453|1995|2049|2111|2260|2414|2723|2725|2731|2843|3201|3520|3947|4694;
82;Thomas Kretschmann;25|41|370|702|892|942|985|1488|1729|2049|2728|2829|4694;
83;Evan Parke;25|2049|4694;
84;Leonardo DiCaprio;26|50|97|179|257|296|307|308|326|361|452|641|911|990|1114|1422|1453|1560|2067|2757|3058|3476;
85;Kate Winslet;26|144|256|408|413|900|1011|1114|1538|1898|1999|2223|2286|2435|2450|2535|2803|2825|3067|3169|3675|3775;
86;Gloria Stuart;26;
87;Chris Evans;27|86|171|222|1314|1325|1424|1949|2225|2271|2637|3206|4311;
88;Anthony Russo;;27|86|897|3000
89;Liam Neeson;28|120|133|213|240|275|326|388|465|635|958|1013|1053|1074|1094|1232|1267|1482|1628|1778|1836|1871|1874|1900|1979|2375|2650|2749|2880|2892|3055|3204|3865|3981;
90;Alexander Skarsgård;28|63|137|1768|1920|1986|3274|3569|4287;
91;Tadanobu Asano;28|2451;
92;Peter Berg;3043;28|116|415|570|1194|3164
93;Bryce Dallas Howard;29|44|579|595|1875|2761|3129|3368|4913;
94;Judy Greer;29|83|88|185|579|650|896|996|1031|1045|1521|1607|1626|1662|1688|1760|2426|2517|3188|4098|4143|4350|4399|4470|4599;
95;Omar Sy;29|1176|2289;
96;Colin Trevorrow;;29|4677
97;Albert Finney;30|183|602|937|1498|3006|3493|4533;
98;Helen McCrory;30|1295|3493;
99;Jon Favreau;32|69|80|308|412|445|451|453|727|913|977|1215|1410|1479|3164|3301|3767|4896;69|79|80|682|1540|1805|3767
100;Don Cheadle;32|383|386|483|538|732|830|1054|2249|2480|2513|2667|3193|3452|3616;
101;Shane Black;2406;32|2721
102;Anne Hathaway;33|96|106|384|450|658|915|1078|1209|1408|1467|1598|1624|1688|2479|2536|2689|2819|2967|3205|3508|3653|4128|4288;
103;Tim Burton;;33|118|134|287|441|488|602|1333|1400|1642|2177|2449|2623|3163|3908|4128
104;Hugh Jackman;34|47|123|144|145|156|210|239|265|303|397|483|526|658|1041|1049|1084|1233|1514|1944|2057|2059|3169|3879;
105;Kelsey Grammer;34|37|902|1168|2428|3177;
106;Daniel Cudmore;34;
107;Brett Ratner;;34|59|314|355|407|512|590|732|830|1910
108;Steve Buscemi;35|151|170|238|263|280|402|444|449|460|478|535|550|602|904|935|1006|1148|1342|1566|1586|2105|2383|2437|2703|2736|2749|2796|2876|3067|3479|3572|3674|4301|4367|4462|4496;4462|4744
109;Tyler Labine;35|345|797|1712|1742|2788|3792;
110;Sean Hayes;35|273|431|1081|1307|1641;
111;Dan Scanlon;;35
112;Glenn Morshower;36|53|197|425|1106|1327|2372|4339;
113;Kevin Dunn;36|53|112|878|900|1665|1978|2560;
114;Ramon Rodriguez;36|292|601|649|4035;
115;Michael Bay;;36|37|53|111|112|151|190|280|528|970|1848|2052|2105
116;Bingbing Li;37|678|1723|3638;
117;Sophia Myles;37|887|1145|2093;
118;Tim Holmes;38|4778;
119;Mila Kunis;38|62|463|846|931|1426|1440|1619|1929|2181|2562|2835|3160|3447|4778;
120;B.J. Novak;39|1428|1955;
121;Jeff Bridges;40|69|203|328|341|393|516|1048|1144|1163|1358|1407|1920|2027|2032|2129|2235|2499|2693|2703|3235|3291|3332|3448;
122;Olivia Wilde;40|771|918|1373|1441|1566|1682|2432|2499|3424|3613|3647|3715|4745|4783;
123;James Frain;40|1015|1230|1345|1387|2096|2294|2499|2643|3813;
124;Joseph Kosinski;;40|235|2499|4690
125;Joe Mantegna;41|755|895|1020|2221|2793|3228|3788|4617;
126;Eddie Izzard;41|637|1676|2746|3067|3308|3391;
127;John Lasseter;;41|353|583|1095|1588
128;Ryan Reynolds;42|123|180|203|241|405|675|812|918|1186|1864|2385|2496|2869|3054|3474|3594|4346|4515;
129;Temuera Morrison;42|267|1276|3573;
130;Taika Waititi;42;
131;Martin Campbell;;42|286|484|539|661|717|781|809|2944
132;Tom Hanks;43|91|129|208|311|353|396|457|536|540|648|655|659|712|836|845|911|1195|1224|1269|1428|1439|1588|1661|2393|2572|3360|4183;1661|4183
133;John Ratzenberger;43|56|58|67|119|238|353|583|1095|1588;
134;Don Rickles;43|920|2867;
135;Lee Unkrich;;43
136;Common;44|175|527|534|1013|1243|1854|2496|2966|4072;
137;McG;;44|226|360|674|684|1779
138;Jason Statham;45|299|317|437|619|679|724|808|1034|1153|1478|1534|1559|1725|1787|1951|2109|2140|2222|2274|2963|3017|3117|3861|4311|4458;
139;Paul Walker;45|100|211|395|498|515|906|1015|1208|1332|1549|1794|2043|2060|2520|2544|2640|3095|3424;
140;Vin Diesel;45|95|100|211|230|395|501|585|648|834|1008|1116|1332|1360|1388|2056|2691|2883|3292;
141;James Wan;;45|1196|2163|2293|3696|4413|4485
142;Peter Capaldi;46|1876|2016|2777;
143;Brad Pitt;46|101|147|175|201|254|255|382|387|400|411|420|470|588|611|683|792|940|956|1140|1219|1371|1490|1600|1611|1722|2011|2204|2333|2682|2898|3017|3117|4749;
144;Mireille Enos;46|1492|3032|5012;
145;Jennifer Lawrence;47|65|102|103|186|207|439|761|1185|2137|2149|3549|4270|4616|4864;
146;Benedict Cumberbatch;48|182|604|905|1278|1638|1876|1941|2147|2614;
147;Bruce Greenwood;48|160|274|492|557|642|1187|1208|1576|1637|2244|2455|2676|2699|3216|3771|4290|4411|4762;
148;Noel Clarke;48;
149;J.J. Abrams;4366;48|141|160|936
150;Eddie Marsan;49|116|141|212|366|604|960|1468|2260|2523|2533|3060;
151;Ewen Bremner;49|330|415|1325|2134|2292|2725|4050;
152;Ralph Brown;49|4966;
153;Elizabeth Debicki;50|548|3476;
154;Steve Bisley;50|3476|4895;
155;Baz Luhrmann;;50|196|903|2757|3476
156;Jake Gyllenhaal;51|219|434|574|1084|1552|1645|1688|1801|1852|1862|2146|2638|2819|2873|2882|3357|3384|3854|4330;
157;Richard Coyle;51|1498|2117|3013|3691;
158;Reece Ritchie;51|3971;
159;Mike Newell;;51|115|669|1132|1436|1535|3843
160;Charlie Hunnam;52|462|525|1982|3205|3647;
161;Clifton Collins Jr.;52|343|798|1478|1685|1828|2274|2286|2915|2979|3386|3447|3749|3918|4210|4978;
162;Larry Joe Campbell;52|638;
163;Guillermo del Toro;;52|433|750|892|2551
164;Lester Speight;53;
165;Harrison Ford;54|268|317|356|387|399|471|557|692|699|934|972|1039|1082|1138|1205|1536|1571|1591|1647|1749|1777|2051|2152|2926|3024|3762|4396|4674;
166;Ray Winstone;54|70|181|318|361|568|781|1317|1732|2020|2326|2987|3252|3573|3873|3874|3934|4022;
167;Jim Broadbent;54|64|271|311|326|419|454|903|986|1470|1488|1502|1727|1738|1887|2275|2308|2518|2700|2781|3205|3271|3399|3405|3552|3587|3604|3619|3675|3884;
168;Steven Spielberg;;54|178|189|194|284|373|523|536|545|589|604|648|653|697|911|1039|1224|1248|1556|1749|1874|2152|2154|2611|2917|3080
169;A.J. Buckley;55|2718|4230|4577|4612;
170;Jack McGraw;55;
171;Peter Sohn;55;55
172;Kelly Macdonald;56|1040|1101|1885|1898|1905|3936|4050;
173;Julie Walters;56|870|914|2536|3047|3534|3719|3827;
174;Mark Andrews;;56
175;Sofia Boutella;57;
176;Melissa Roxburgh;57;
177;Lydia Wilson;57;
178;Justin Lin;;57|211|418|4750|4855
179;Fred Willard;58|714|844|2182|2192|2437|2722|2942|3290|3753|3925|4008;
180;Jeff Garlin;58|721|2307|4424|4677;4424
181;Tzi Ma;59|247|2277|3379;
182;Dana Ivey;59|725|2248|2611;
183;Noémie Lenoir;59|2116;
184;Oliver Platt;60|102|385|580|624|771|862|965|1192|1739|1811|1823|1841|2038|2248|2288|3055|3204|3481|4092|4830;
185;Liam James;60|1659|3720;
186;Tom McCarthy;60|337|906|4584;2194|4730
187;Roland Emmerich;;60|92|142|219|253|522|1814|4303
188;Robin Wright;61|153|364|562|773|956|1630|1829|1973|2651|3413|3570|3947;
189;Colin Firth;61|647|914|986|1094|1415|1887|1905|1921|2000|2122|2147|2458|2607|2709|2809|2969|3405|3500;
190;Gary Oldman;61|83|139|195|231|332|399|463|475|777|1021|1167|1203|1284|1574|2147|2546|2836|2898|3191|3291|4099|4681;
191;Robert Zemeckis;;61|91|153|356|375|396|836|860|1188|1201|1496|1576|2363
192;Channing Tatum;62|142|168|612|939|971|1090|1154|1546|1590|1668|1718|1926|1948|1981|2065|2107|2745|2756|2928|3470|4905;
193;Eddie Redmayne;62|658|881|2610|2641|3155|3839;
194;Lana Wachowski;;62|124|126|232|654|3848
195;Casper Crump;63|137;
196;Kiran Shah;64;
197;Shane Rangi;64|110;
198;Michael Fassbender;65|102|227|588|709|1068|2011|2065|2310|2435|2741|3566|4073|4111|4315;
199;Tye Sheridan;65|1490|3150|3938;
200;Heath Ledger;66|253|487|1179|1493|1974|2319|2819|2845|3892;
