18;;;
4267;Kali Rocha;2655;
1077;Steven Brill;;486|935|1266|1625
4279;Rachel True;2663|4737;
759;Ron Underwood;;321|482|3146
2304;Alejandro Agresti;;1241
4077;Robert Harmon;;2510|2668
6323;Ash Cook;4015;
2745;Chris Ellis;1531;
1986;Andrew Wilson;1030|3787;3416
5843;Scott Reeves;3736;
2631;Cicely Tyson;1461|2176|2658|2688|3099|3341|3670;
1247;Oanh Nguyen;578;
2453;Michael Hitchcock;1334;
1622;Ariel Gade;803|2273;
4153;Gustaf Skarsgård;2561;
4694;Stuart Gordon;;2979|3228
8117;Eugène Lourié;;4893
4315;Catherine Owens;;2686
5933;Ken Davis;3790;
3424;Sergey Bondarchuk;;2013
6451;Peter Ostrum;4093;
2448;Brooklynn Proulx;1330;
2312;Johnny Cannizzaro;1245;
4534;Kate del Castillo;2856|3004|3833|4379;
5422;Geneviève Lemon;3469;
2630;Mike Hodges;;1459
5590;Stevie Wonder;3583;
2368;Andrea Frankle;1280;
3920;Chester;2394;
438;Sam Shepard;164|330|405|483|1124|1509|1722|1813|2126|2456|2682|3003|3150|3863|4096;
1345;Ashraf Barhom;636|3223;
7916;Erland Josephson;4809;
6947;Lizzie Brocheré;4349;
7001;Richard Boddington;;4377
4786;Eric Mabius;3039|3965|5038;
6965;Gina Montana;4361;
8055;Samantha Buck;4873;
7596;Michael Burke;;4668
2457;Courtney Gains;1339;
897;Rosemarie DeWitt;391|871|2967|3961|4009;
8081;Brit Morgan;4881;
7802;Stephen Kijak;;4760
1825;Steve Oedekerk;3145;924|1597|1907|3145
3882;Jenni 'Jwoww' Farley;2370;
4385;Tony Jaa;;2740
5055;Damian Walshe-Howling;3243;
2751;Robert John Burke;1534|1901|4839;
4398;Juraj Jakubisko;;2748
1539;Kevin Donovan;;758
1428;Kevin Grevioux;688|1432|2093|2503;
999;Mimi Leder;;445|984|1263
3515;Shane Brolly;2093;
7244;Laurent Bouhnik;;4504
564;Nathan Lane;228|276|392|423|509|556|1286|1394|2035|2145|3177;
4735;Ni Yan;3007|4055|4408;
6627;David Jason Perez;4187;
3039;Igor Kovalyov;;1750
5706;Martijn Lakemeier;3655;
4841;Karan Johar;;3075|3344
4014;Mike Marvin;;2462
2341;Angie Dickinson;1263|3559|4135;
7700;Francine Blake;4715;
3311;Nigel Cole;;1943|3404
3442;Sidney Lumet;;2037|2542|2883|3001|3969|4822
2867;Alfie Allen;1638|3263;
4539;Corey Johnson;2858;
3692;Vanessa Lengies;2235|3143|4275|4515;
2838;Jean Smart;1618|2850;
758;Burt Young;321|1262|1714|2019|2885;
384;Mike Bell;139;
4572;Paul Mazursky;2881;2881
196;Kiran Shah;64;
1399;Stanley Kubrick;;671|890|2362|3048|3079|4256|4359
3657;Lee Marvin;2211|4041|4135|4165;
3950;Dan Bakkedahl;2423;
1676;Christopher Lambert;831|1858|2168|2579|2687|2979|3015|4295;
3893;Brian Percival;;2376
2486;Lee Daniels;;1357|1594|3096
6879;Phil Claydon;;4317
6328;Jane Goodall;4018|4702;
7797;Alex Craig Mann;;4758
6418;LisaGay Hamilton;4074;
7108;Jaime Zevallos;4436;4436
3838;George Coulouris;2342;
6412;Adam Marcus;;4070
4930;Harry Styles;3152;
3917;Amy Yasbeck;2392|4327;
757;Randy Quaid;321|622|728|2462|2620|3148|3183;
